#Time,feature,NeutronCount_Epithermal_Cum1hrQualityFlag in []
2015-08-16T07:00:00.000000+0200,Jungfraujoch,153.272,42027.0
2015-08-16T08:00:00.000000+0200,Jungfraujoch,154.008,42027.0
2015-08-16T09:00:00.000000+0200,Jungfraujoch,154.349,42027.0
2015-08-16T10:00:00.000000+0200,Jungfraujoch,155.25,42027.0
2015-08-16T11:00:00.000000+0200,Jungfraujoch,154.203,42027.0
2015-08-16T12:00:00.000000+0200,Jungfraujoch,154.481,42027.0
2015-08-16T13:00:00.000000+0200,Jungfraujoch,154.878,42027.0
2015-08-16T14:00:00.000000+0200,Jungfraujoch,154.272,42027.0
2015-08-16T15:00:00.000000+0200,Jungfraujoch,154.367,42027.0
2015-08-16T16:00:00.000000+0200,Jungfraujoch,154.235,42027.0
2015-08-16T17:00:00.000000+0200,Jungfraujoch,153.745,42027.0
2015-08-16T18:00:00.000000+0200,Jungfraujoch,153.698,42027.0
2015-08-16T19:00:00.000000+0200,Jungfraujoch,153.974,42027.0
2015-08-16T20:00:00.000000+0200,Jungfraujoch,153.93,42027.0
2015-08-16T21:00:00.000000+0200,Jungfraujoch,153.65,42027.0
2015-08-16T22:00:00.000000+0200,Jungfraujoch,153.791,42027.0
2015-08-16T23:00:00.000000+0200,Jungfraujoch,153.89,42027.0
2015-08-17T00:00:00.000000+0200,Jungfraujoch,152.857,42027.0
2015-08-17T01:00:00.000000+0200,Jungfraujoch,153.285,42027.0
2015-08-17T02:00:00.000000+0200,Jungfraujoch,152.78,42027.0
2015-08-17T03:00:00.000000+0200,Jungfraujoch,152.617,42027.0
2015-08-17T04:00:00.000000+0200,Jungfraujoch,152.934,42027.0
2015-08-17T05:00:00.000000+0200,Jungfraujoch,152.495,42027.0
2015-08-17T06:00:00.000000+0200,Jungfraujoch,152.729,42027.0
2015-08-17T07:00:00.000000+0200,Jungfraujoch,153.231,42027.0
2015-08-17T08:00:00.000000+0200,Jungfraujoch,153.964,42027.0
2015-08-17T09:00:00.000000+0200,Jungfraujoch,154.176,42027.0
2015-08-17T10:00:00.000000+0200,Jungfraujoch,154.72,42027.0
2015-08-17T11:00:00.000000+0200,Jungfraujoch,154.92,42027.0
2015-08-17T12:00:00.000000+0200,Jungfraujoch,155.246,42027.0
2015-08-17T13:00:00.000000+0200,Jungfraujoch,155.501,42027.0
2015-08-17T14:00:00.000000+0200,Jungfraujoch,155.744,42027.0
2015-08-17T15:00:00.000000+0200,Jungfraujoch,155.584,42027.0
2015-08-17T16:00:00.000000+0200,Jungfraujoch,155.837,42027.0
2015-08-17T17:00:00.000000+0200,Jungfraujoch,156.041,42027.0
2015-08-17T18:00:00.000000+0200,Jungfraujoch,155.95,42027.0
2015-08-17T19:00:00.000000+0200,Jungfraujoch,155.156,42027.0
2015-08-17T20:00:00.000000+0200,Jungfraujoch,155.056,42027.0
2015-08-17T21:00:00.000000+0200,Jungfraujoch,154.687,42027.0
2015-08-17T22:00:00.000000+0200,Jungfraujoch,155.622,42027.0
2015-08-17T23:00:00.000000+0200,Jungfraujoch,154.947,42027.0
2015-08-18T00:00:00.000000+0200,Jungfraujoch,154.478,42027.0
2015-08-18T01:00:00.000000+0200,Jungfraujoch,154.556,42027.0
2015-08-18T02:00:00.000000+0200,Jungfraujoch,153.551,42027.0
2015-08-18T03:00:00.000000+0200,Jungfraujoch,154.052,42027.0
2015-08-18T04:00:00.000000+0200,Jungfraujoch,153.313,42027.0
2015-08-18T05:00:00.000000+0200,Jungfraujoch,153.389,42027.0
2015-08-18T06:00:00.000000+0200,Jungfraujoch,153.57,42027.0
2015-08-18T07:00:00.000000+0200,Jungfraujoch,153.96,42027.0
2015-08-18T08:00:00.000000+0200,Jungfraujoch,154.984,42027.0
2015-08-18T09:00:00.000000+0200,Jungfraujoch,155.547,42027.0
2015-08-18T10:00:00.000000+0200,Jungfraujoch,155.108,42027.0
2015-08-18T11:00:00.000000+0200,Jungfraujoch,154.984,42027.0
2015-08-18T12:00:00.000000+0200,Jungfraujoch,154.937,42027.0
2015-08-18T13:00:00.000000+0200,Jungfraujoch,155.905,42027.0
2015-08-18T14:00:00.000000+0200,Jungfraujoch,155.28,42027.0
2015-08-18T15:00:00.000000+0200,Jungfraujoch,155.6,42027.0
2015-08-18T16:00:00.000000+0200,Jungfraujoch,155.578,42027.0
2015-08-18T17:00:00.000000+0200,Jungfraujoch,155.46,42027.0
2015-08-18T18:00:00.000000+0200,Jungfraujoch,155.113,42027.0
2015-08-18T19:00:00.000000+0200,Jungfraujoch,155.162,42027.0
2015-08-18T20:00:00.000000+0200,Jungfraujoch,154.635,42027.0
2015-08-18T21:00:00.000000+0200,Jungfraujoch,154.591,42027.0
2015-08-18T22:00:00.000000+0200,Jungfraujoch,153.946,42027.0
2015-08-18T23:00:00.000000+0200,Jungfraujoch,154.464,42027.0
2015-08-19T00:00:00.000000+0200,Jungfraujoch,153.99,42027.0
2015-08-19T01:00:00.000000+0200,Jungfraujoch,153.221,42027.0
2015-08-19T02:00:00.000000+0200,Jungfraujoch,153.291,42027.0
